instructor_id,name,expertise_area,rating,join_date
i00001,Arjun Smith,Math,4.2,10/10/2018
i00002,Eva Clark,Biology,3.5,6/4/2020
i00003,Benjamin Smith,Physics,4.5,2/27/2019
i00004,Vihaan Smith,History,4,7/2/2020
i00005,Aarav Martin,Math,4.5,5/31/2018
i00006,Benjamin Davis,Biology,5,9/22/2018
i00007,Ethan Clark,Math,4,6/16/2021
i00008,Mia Lewis,Math,3.8,4/10/2020
i00009,Lucas Martin,Data Science,4.7,3/15/2020
i00010,Emma Walker,Music,3.9,3/23/2018
i00011,Meera Wilson,Physics,3.4,9/3/2019
i00012,Liam Moore,Biology,3.1,3/22/2020
i00013,Benjamin Thomas,Biology,3.3,3/20/2018
i00014,Zara Lee,Business,3.7,3/29/2019
i00015,Mia Lee,Math,3.7,1/13/2020
i00016,Meera Clark,Programming,3.8,4/21/2020
i00017,Meera Patel,Data Science,5,6/18/2019
i00018,Benjamin Walker,Data Science,3.1,2/15/2021
i00019,Eva Clark,History,3.3,6/13/2021
i00020,Lucas Thomas,History,4.6,7/7/2018
i00021,Aanya Clark,Physics,4.8,5/27/2020
i00022,Aanya Lee,Programming,3,10/28/2020
i00023,Benjamin Lee,Business,4.4,8/22/2021
i00024,Lucas Singh,Business,3.4,4/28/2019
i00025,Ethan Patel,Programming,3.7,3/10/2018
i00026,Sophia Miller,AI,4.4,9/16/2019
i00027,Mia Miller,Music,3.9,12/9/2018
i00028,Karan Moore,AI,3.1,5/15/2021
i00029,Aanya Smith,Data Science,4.7,2/25/2021
i00030,Aanya Thomas,Design,3.7,7/28/2019
i00031,Mia Moore,Data Science,4.7,6/10/2018
i00032,Isabella Anderson,Business,4.2,7/6/2019
i00033,Zara Brown,Business,4.2,7/30/2020
i00034,Mia Brown,Business,4.4,1/1/2018
i00035,Vihaan Walker,AI,4.7,11/23/2020
i00036,Isabella Davis,Math,4.1,2/18/2021
i00037,Isabella Lewis,Physics,3.2,5/7/2019
i00038,Mia Moore,Music,5,8/24/2020
i00039,Sophia Anderson,AI,3.7,1/8/2018
i00040,Mia Sharma,History,4.1,8/4/2021
i00041,Amelia Johnson,Biology,4.8,6/30/2018
i00042,Olivia Lewis,Design,3.2,9/20/2018
i00043,Eva Smith,Programming,4,11/24/2021
i00044,Emma Smith,Physics,4.8,3/7/2019
i00045,Vihaan Clark,Programming,4.6,4/16/2021
i00046,Zara Thomas,Design,3.2,10/23/2021
i00047,Riya Patel,Design,4.8,4/14/2018
i00048,Sophia Anderson,Design,4.8,4/23/2018
i00049,Eva Thomas,Business,4.8,12/21/2020
i00050,Lucas Martin,Design,4.9,3/2/2021
i00051,Isabella Thomas,Biology,3.6,3/31/2019
i00052,Amelia Hall,Physics,4.1,6/26/2020
i00053,Meera Verma,Music,3.9,4/10/2019
i00054,Liam Smith,Business,4.2,5/22/2021
i00055,Liam Clark,Math,3.8,1/31/2019
i00056,Olivia Anderson,Business,3.3,11/23/2018
i00057,Arjun Clark,Physics,3.1,7/3/2018
i00058,Amelia Miller,Data Science,3.6,9/21/2021
i00059,Emma Taylor,History,4.8,11/10/2019
i00060,Isabella Lewis,Programming,4.9,12/25/2018
i00061,Riya Martin,Programming,3.7,10/3/2018
i00062,Aarav Davis,Design,4.9,7/11/2021
i00063,Amelia Walker,Physics,3.7,9/17/2021
i00064,Amelia Davis,Music,4.8,5/25/2021
i00065,Emma Anderson,AI,3.4,10/2/2018
i00066,Noah Patel,Math,4.4,6/16/2019
i00067,Sophia Lewis,Biology,4.2,7/26/2021
i00068,Arjun Verma,AI,4.8,10/19/2018
i00069,Emma Walker,Programming,4.3,2/11/2020
i00070,Aanya Johnson,Data Science,4.9,12/31/2018
i00071,Karan Hall,Math,3.5,2/26/2020
i00072,Eva Clark,Programming,3.4,12/14/2020
i00073,Ethan Sharma,Design,3.6,5/31/2018
i00074,Karan Thomas,AI,3.6,7/27/2019
i00075,Zara Wilson,Programming,3.5,2/18/2018
i00076,Noah Martin,Programming,4.1,3/7/2019
i00077,Isabella Davis,Data Science,3.8,12/12/2019
i00078,Amelia Wilson,Business,3.2,3/3/2019
i00079,Aarav Patel,Math,4.5,5/13/2020
i00080,Sophia Hall,Physics,3.2,12/9/2020
i00081,Aarav Moore,Programming,3.5,9/26/2021
i00082,Liam Lee,Programming,4.2,2/2/2019
i00083,Aarav Davis,Biology,4.6,3/12/2021
i00084,Meera Patel,Music,3.7,1/9/2018
i00085,Olivia Clark,History,3.6,7/16/2021
i00086,Eva Verma,Biology,4.8,7/17/2019
i00087,Lucas Martin,AI,3.9,1/27/2021
i00088,Zara Moore,History,5,5/22/2019
i00089,Aanya Miller,AI,3.1,12/3/2021
i00090,Mia Walker,Math,3.1,4/23/2019
i00091,Ethan Thomas,Physics,3.4,1/20/2019
i00092,Liam Miller,Data Science,3.4,6/5/2021
i00093,Zara Taylor,Design,3.4,11/5/2019
i00094,Eva Singh,Design,3,8/9/2020
i00095,Karan Patel,Music,4,10/8/2018
i00096,Aanya Miller,Programming,4.4,5/10/2020
i00097,Benjamin Davis,Music,4.6,12/5/2018
i00098,Isabella Brown,Music,4.8,6/26/2018
i00099,Karan Verma,Physics,3.2,2/19/2018
i00100,Riya Sharma,Math,4.6,10/8/2020
i00101,Olivia Walker,Data Science,4,6/5/2019
i00102,Lucas Sharma,Data Science,3.9,9/14/2021
i00103,Emma Brown,Data Science,3.5,10/22/2021
i00104,Riya Johnson,History,3.8,7/25/2021
i00105,Arjun Taylor,Design,4.9,5/14/2021
i00106,Karan Smith,Business,4.8,11/8/2019
i00107,Meera Miller,Biology,4,8/2/2019
i00108,Sophia Anderson,Programming,3.7,6/9/2020
i00109,Zara Thomas,Music,3.9,5/30/2020
i00110,Vihaan Johnson,Math,3.7,3/2/2019
i00111,Aarav Thomas,Math,3.2,10/22/2021
i00112,Sophia Moore,Programming,4.6,7/22/2020
i00113,Sophia Walker,Data Science,4.4,2/10/2021
i00114,Arjun Johnson,Design,3.8,5/16/2020
i00115,Emma Smith,Business,4.1,2/11/2018
i00116,Karan Verma,Music,3.7,1/8/2020
i00117,Zara Walker,Design,3.6,12/14/2021
i00118,Meera Brown,Programming,4.7,10/29/2021
i00119,Liam Brown,Data Science,3.9,5/17/2019
i00120,Lucas Moore,Physics,4.9,4/12/2018
i00121,Isabella Moore,Biology,3,11/19/2021
i00122,Vihaan Hall,Design,3.6,7/24/2021
i00123,Arjun Thomas,Biology,4.1,7/15/2020
i00124,Lucas Moore,Biology,3.2,2/24/2019
i00125,Arjun Lewis,Music,4.8,3/1/2019
i00126,Sophia Lee,History,4.3,2/21/2018
i00127,Zara Taylor,Biology,3,8/27/2019
i00128,Mia Sharma,AI,3,2/19/2018
i00129,Emma Clark,Design,3.8,6/16/2021
i00130,Emma Thomas,Music,3.4,6/17/2020
i00131,Olivia Verma,Biology,4.5,1/29/2020
i00132,Eva Brown,Math,4.3,4/5/2019
i00133,Riya Lewis,History,4.1,1/29/2019
i00134,Benjamin Hall,Math,3.8,4/21/2018
i00135,Aanya Moore,AI,4.4,4/26/2018
i00136,Lucas Lewis,Business,3.4,8/12/2021
i00137,Lucas Verma,Programming,4.4,12/7/2020
i00138,Olivia Hall,Programming,3.3,10/14/2018
i00139,Noah Davis,Design,3.5,3/3/2018
i00140,Riya Hall,Music,4.4,10/10/2021
i00141,Meera Moore,Music,3,11/25/2018
i00142,Noah Moore,Design,4.6,12/3/2020
i00143,Liam Singh,Biology,3.9,7/23/2020
i00144,Amelia Miller,Math,3.2,6/3/2018
i00145,Riya Miller,AI,4.3,3/17/2020
i00146,Olivia Davis,Math,3.7,11/15/2018
i00147,Noah Brown,Music,4.8,10/6/2019
i00148,Liam Taylor,Business,4,1/13/2021
i00149,Benjamin Smith,Programming,3.4,9/19/2019
i00150,Aanya Lewis,Data Science,3.8,7/24/2020
i00151,Liam Smith,Biology,3.6,7/12/2020
i00152,Olivia Wilson,Physics,3.1,10/17/2019
i00153,Olivia Martin,Math,3.1,8/8/2020
i00154,Benjamin Anderson,Physics,3.2,8/14/2018
i00155,Aanya Verma,Business,3.8,1/26/2019
i00156,Ethan Wilson,Data Science,3.6,1/26/2018
i00157,Riya Sharma,Data Science,4.2,3/10/2019
i00158,Karan Martin,Physics,3.9,7/28/2021
i00159,Meera Smith,History,4.2,11/22/2021
i00160,Mia Sharma,Business,4.2,7/5/2019
i00161,Meera Smith,Programming,5,8/1/2019
i00162,Lucas Anderson,Programming,3.5,7/19/2019
i00163,Sophia Thomas,Business,4.5,10/6/2019
i00164,Aarav Moore,History,4.2,6/14/2021
i00165,Aarav Hall,Biology,3.9,10/23/2021
i00166,Amelia Thomas,Programming,3.4,12/14/2020
i00167,Lucas Lee,Music,3.2,1/13/2019
i00168,Zara Wilson,AI,3.4,6/19/2021
i00169,Mia Lewis,Music,4.3,7/28/2018
i00170,Benjamin Anderson,Design,3.3,5/8/2021
i00171,Noah Patel,AI,4.1,10/29/2021
i00172,Mia Singh,Music,3.8,3/9/2021
i00173,Liam Singh,Biology,3.4,11/19/2018
i00174,Sophia Clark,Math,3.7,2/25/2021
i00175,Sophia Smith,Physics,3.7,2/21/2018
i00176,Isabella Verma,Data Science,3.2,6/1/2018
i00177,Liam Smith,Music,3.3,1/11/2021
i00178,Benjamin Moore,History,4.2,2/3/2021
i00179,Isabella Clark,Business,5,7/3/2020
i00180,Olivia Moore,History,4.8,11/25/2019
i00181,Isabella Hall,Music,3.9,8/11/2018
i00182,Arjun Wilson,Design,3.6,3/6/2021
i00183,Eva Hall,AI,4.2,9/24/2019
i00184,Emma Thomas,Physics,3.5,8/22/2020
i00185,Sophia Walker,Programming,3.3,2/14/2020
i00186,Ethan Wilson,AI,3.6,11/26/2018
i00187,Emma Anderson,History,3.4,5/16/2019
i00188,Aarav Patel,Biology,4.6,5/19/2020
i00189,Lucas Brown,Programming,3.7,6/9/2020
i00190,Noah Lewis,History,3.7,12/14/2018
i00191,Eva Smith,AI,3.4,10/22/2020
i00192,Liam Lee,Math,4.2,8/18/2019
i00193,Sophia Lewis,Data Science,3.9,5/30/2018
i00194,Ethan Walker,Data Science,4.7,2/14/2020
i00195,Zara Singh,Music,4.8,9/23/2019
i00196,Emma Martin,Business,3.5,1/8/2018
i00197,Lucas Martin,AI,4.2,5/23/2018
i00198,Amelia Lee,Music,3.8,7/14/2019
i00199,Eva Smith,Business,3.7,3/24/2018
i00200,Aarav Wilson,AI,4.2,10/23/2021
i00201,Vihaan Sharma,Business,4.7,9/26/2021
i00202,Lucas Thomas,Music,4.1,12/20/2021
i00203,Emma Johnson,Math,4.6,6/5/2021
i00204,Aarav Singh,Math,4,10/31/2020
i00205,Olivia Smith,Math,3.9,4/15/2019
i00206,Arjun Clark,Data Science,3,4/2/2019
i00207,Vihaan Thomas,Music,4.1,9/8/2020
i00208,Meera Taylor,Biology,4.8,1/23/2021
i00209,Zara Walker,Biology,4.4,11/12/2018
i00210,Aarav Thomas,History,3.3,12/27/2019
i00211,Liam Smith,Programming,4.5,3/23/2019
i00212,Lucas Singh,Physics,3,10/2/2019
i00213,Isabella Lee,History,3.4,1/2/2018
i00214,Aarav Singh,Music,4.3,5/28/2018
i00215,Liam Taylor,Biology,3,8/20/2020
i00216,Sophia Miller,Biology,3.9,5/12/2021
i00217,Riya Lee,AI,4.5,9/30/2019
i00218,Liam Brown,History,3.1,2/28/2019
i00219,Aarav Anderson,Math,4.3,9/10/2018
i00220,Isabella Johnson,Music,4.7,9/19/2019
